Latteria di Sedico Societ Agricola Cooperativa\Via S. Felice, 4, 32036 Sedico BL\\0437 83717\\BL\
Latteria di Camolino Societ Agricola Cooperativa\Localit Camolino, 32037 Mis BL\http://www.latteriacamolino.it/\0437 89228\\BL\
Latteria Di Frontin Societa Agricola Cooperativa\Localit Frontin, 64, 32026 Borgo Valbelluna BL\https://www.facebook.com/LatteriaFrontin/?locale=it_IT\0437 555166\\BL\
Ditta Fregona Renzo\Piazza duomo BL marted-sabato 7301230, 32100 Belluno BL\https://www.facebook.com/dittafregonarenzo/\335 530 6845\\BL\
Cooperativa Agordino Latteria di Vallata\Localit Toccol, 61, 32021 Agordo BL\https://www.latteriadivallata.com/\0437 640947\\BL\
Latteria di Lentiai Soc. Coop. Agr.\Via dei Martiri, 61, 32026 Lentiai BL\http://www.latterialentiai.it/\0437 750584\\BL\
La Botega del formai\Via Caduti 14 Settembre 1944, 32100 Belluno BL\\0437 930882\\BL\
Il colle del Tiglio societ agricola\Via Valpiana, 82, 32020 Limana BL\\393 090 8988\\BL\
Centro Caseario e Agrituristico dell'Altopiano Tambre-Spert-Cansiglio S.C.A R.L.\Localita' Valmenera, Tambre, BL 32010, Tambre BL\\0437 472222\\BL\
Azienda Agricola Barattin Oscar\Via Mussera, 159, 32010 Chies d'Alpago BL\\340 402 3913\\BL\
Azienda Agricola & Caseificio Matteo Vettorata Fantino\Via Marzane, 5, 32032 Feltre BL\\328 869 1418\\BL\
Caseificio Primiero\Via Roma, 179, 38050 Mezzano TN\https://www.caseificioprimiero.com/\0439 765616\lightgallery@1.6.12\TN\
Latteria Pradis di Sopra Snc\Via Roma, 42, 33092 Meduno PN\https://www.latteriapradisdisopra.it/\366 393 2045\\PN\
Lattebusche Latteria della Vallata Feltrina\Via Nazionale, 59, 32030 Busche BL\https://www.lattebusche.com/\0439 3191\\BL\
Caseificio della Savia\Via a. Manzoni, 27, 33031 Basiliano UD\https://www.caseificiodellasavia.com/\0432 84516\\UD\
Azienda Agricola Stramare Dario e Saverio CASEIFICIO AZIENDALE\Via S. Rocco, 51, 31040 Segusino TV\https://www.caseificiostramare.com/contatti/\347 005 3193\\TV\
Centro Caseario e Agrituristico dell'Altipiano Tambre - Spert - Cansiglio\Viale Marconi, 98, 32010 Tambre BL\http://www.cansiglio.eu/it/ricettivita/bar-bianco\0437 439722\\BL\
Consorzio per la Tutela del Formaggio Piave DOP\Via Nazionale, 57A, 32030 Busche BL\http://www.formaggiopiave.it/\0439 391170\consorzio@formaggiopiave.it MG_7075-fotohome@033x.jpg swiper@6.3.5\BL\
Fattoria Bepi Zumelle\Via Piave, 28, 32026 Mel BL\\\\BL\
Caseificio Gaion\Via Borgo Cattanei, 12, 31048 Cavri TV\https://it-it.facebook.com/CaseificioGaion/\0422 797614\\TV\
Latteria di Soligo\Via Carlo Conte, 31010 Farra di Soligo TV\http://www.latteriasoligo.it/\0438 985111\\TV\
Caseificio Finco\Via Lecche, 42, 36052 Enego VI\\0424 490149\\VI\
