Salumeria al Desco Prodotti Tipici Veneti\Sotto Il Salone, 13, 35122 Padova PD\http://www.salumeriaaldescocollesei.it/\049 654960\\PD\Sponsorizzato
Gastronomia Gusto' Padova\Via Daniele Manin, 33, 35100 Padova PD\https://www.gastronomiagusto.it/\049 660878\\PD\
Gastronomia San Prosdocimo\Via S. Prosdocimo, 72, 35139 Padova PD\\049 871 8780\\PD\
Sicilian Goodness  Padova Centro Storico\Via Roma, 121, 35122 Padova PD\https://siciliangoodness.com/punti-vendita/padova-centro-storico/\049 830 5182\segreteria@siciliangoodness.com\PD\
Gastronomia Marcolin\Sotto Il Salone, 49, 35122 Padova PD\http://www.gastronomiamarcolin.it/\049 875 0654\info@gastronomiamarcolin.it\PD\
L'Azzurra Gastronomia di Carraro Natalino\Via Fabrici Girolamo d'Acquapendente, 57, 35126 Padova PD\\049 880 1477\\PD\
Salumeria Al Carmine\Via Francesco Petrarca, 9, 35137 Padova PD\http://www.salumeriaalcarmine.it/\049 689 5881\\PD\
Gastronomia Primizia\Via Luciano Manara, 25, 35129 Padova PD\\049 772608\\PD\
La Gastronomia da Mirco\Via Cave, 42, 35136 Padova PD\https://www.facebook.com/lagastronomiadamirco\049 868 6653\\PD\
Gastronomia Buonarroti\Via Michelangelo Buonarroti, 78, 35135 Padova PD\\049 610457\\PD\
FRESCO pescheria & gastronomia\Via Astichello, 20, 35135 Padova PD\https://www.facebook.com/frescopescheria/\349 380 4671\\PD\
POLLODORO\Via Beato Luca Belludi, 34, 35123 Padova PD\http://pollodoro.it/\049 663718\siios@siios.it\PD\
La Gastronomica Spa\Via Bezzecca, 65, 35138 Padova PD\https://www.lagastronomica.it/\049 872 5277\info@lagastronomica.it\PD\
Rosticceria San Camillo di Terrassan Giampietro\Via Nazareth, 45, 35128 Padova PD\https://www.facebook.com/rosticceriasancamillo/\049 776004\\PD\
Ravioleria Ravioli & Sapori\Piazza delle Erbe, 30, 35122 Padova PD\\327 958 8338\\PD\
Da Giggino\Via S. Francesco, 212, 35121 Padova PD\https://www.dagiggino.com/\377 707 3860\\PD\
Gourmetteria\Via Zabarella, 23, 35121 Padova PD\http://gourmetteria.com/\049 659830\padova@gourmetteria.com\PD\
Boutique della Gastronomia\Via Roma, 90, 35020 Albignasego PD\\049 712891\\PD\
Gust, Gastronomia\Via T. Aspetti, 84, 35132 Padova PD\\049 616332\\PD\
Casa Barozzi Panini - Padova Salone\Palazzo della Ragione, Sotto Il Salone, 43, 35122 Padova PD\https://linktr.ee/casabarozzi\375 607 3293\\PD\
ICON Korea Grill Padova\Via Giacomo Matteotti, 13, 35127 Padova PD\https://www.koreangrill.it/\049 261 6005\\PD\
Bigoi Padova - Pasta Fresca To Go\Via Umberto I, 128, 35122 Padova PD\http://www.bigoi.com/\\bepe@bepebigoi.it info@bepebigoi.it\PD\
Osteria Nane della Giulia\Via Santa Sofia, 1, 35121 Padova PD\\049 660742\\PD\
Mille e Una Alba\Via Giovanni Berchet, 11, 35131 Padova PD\http://www.instagram.com/ristorantlibanesemilleeunaalba\375 745 5725\\PD\
Frascoli Bacaro  Cicchetteria Veneziana a Padova\Via del Santo, 93, 35121 Padova PD\https://restaurantht.com/chat/frascoli-bacaro\049 660505\\PD\
KANTU ristorante peruviano\Via Sette Martiri, 170, 35143 Padova PD\https://kanturestauranteperuano.it/\049 817 2066\\PD\
\Via Sette Martiri, 170, 35143 Padova PD\https://kanturestauranteperuano.it/\049 817 2066\\PD\KANTU ristorante peruviano
Gnam - Friggitoria\Via Sette Martiri, 170, 35143 Padova PD\https://kanturestauranteperuano.it/\049 817 2066\\PD\KANTU ristorante peruviano
Enogastronomia da Emilio\Via Sette Martiri, 170, 35143 Padova PD\https://kanturestauranteperuano.it/\049 817 2066\\PD\KANTU ristorante peruviano
