Salumificio Franco Verona s.r.l.\Via G. Galilei, 56, 36036 Torrebelvicino VI\\0445 660049\\VI\
Salumificio Valpolicella\Via Casa Rossa, 5, 37029 San Pietro in Cariano VR\http://www.salumificiovalpolicella.it/\045 770 2522\\VR\
Salumificio Serafini S.n.c.\Via Monte Pastello, 2, 37057 San Giovanni Lupatoto VR\\045 925 1819\\VR\
Vigneto dei Salumi\Via Casa Zamboni, 3, 37024 Arbizzano-Santa Maria VR\http://www.vignetodeisalumi.it/\045 751 4233\matteo.uk@vignetodeisalumi.it info@vignetodeisalumi.it commerciale@vignetodeisalumi.it\VR\
Salumeria Gironda\Via Ponte Pietra, 24, 37121 Verona VR\http://salumeriagironda.it/\045 591058\emanuele.gironda@yahoo.it\VR\
Salumificio F.lli Coati\Via Valpolicella, 51, 37026 Pescantina VR\http://www.salumificiocoati.it/\045 775 5265\\VR\
Salumificio La Valpantena\Via Archimede, 22, 37036 San Martino Buon Albergo VR\\045 990310\\VR\
Salumificio Bovo dal 1987 Di Bortolazzi Massimo\Via Lago di Garda, 29B, 37060 Buttapietra VR\https://www.salumificiobovo.com/\045 542014\\VR\
Salumificio Pavoncelli Ernesto & Figli SPA  Uffici\Via Valpolicella, 51, 37026 Santa Lucia VR\http://www.pavoncelli.it/\045 715 0191\support@nidoma.com\VR\
Bombieri S.P.A.\Viale del Lavoro, 2527, 37060 Buttapietra VR\https://salumificiobombieri.it/\045 666 0528\info@salumificiobombieri.it pec@pec.salumificiobombieri.it\VR\
Zenorini Fratelli Snc\Via Risorgimento, 5, 37026 Pescantina VR\https://www.zenorini.com/it/index.php\045 715 0011\info@zenorini.com\VR\
Spaccio San Massimo Srl\Via Stanga, 7, 37139 Verona VR\http://www.spacciosanmassimo.it/\045 890 3871\\VR\
Antica Salumeria Albertini\Corso Sant'Anastasia, 41, 37121 Verona VR\https://instagram.com/salumeria.albertini?igshid=YmMyMTA2M2Y=\045 803 1074\\VR\
La Prosciutteria Verona\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\
\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
Salumificio Freoni Danzi Di Danzi Gian Paolo E Ginetta\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
Salumificio Manganotti Di Manganotti Vittorio E C. S.n.c.\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
Sapori e Profumi - Verona\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
Salumificio\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
Prosciuttificio Soave\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
Salumeria Fornale' dal 1958 Verona\Piazza Erbe, 31, 37121 Verona VR\https://www.laprosciutteria.com/ristorante-verona/\045 494 3810\\VR\La Prosciutteria Verona
