Salumificio Fantin - Fantin srl\Via Vicenza, 242, 36077 Altavilla Vicentina VI\http://www.fantinsrl.com/\0444 348771\605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com 8c4075d5481d476e945486754f783364@sentry.io react@18.3.1 lodash@4.17.23 focus-within-polyfill@5.0.9 info@fantinsrl.com core-js-bundle@3.2.1 intl-segmenter@11.7.10 rspack@1.6.8 react-dom@18.3.1\VI\
Salumificio Dei Castelli S.R.L.\Str. del Capitello, 13, 36075 Montecchio Maggiore VI\https://salumificiodeicastelli.it/\0444 492627\\VI\
Spaccio Carni San Valentino a Vicenza\Via E. Fermi, 5, 36057 Nogarazza VI\http://www.carnisanvalentino.com/\0444 289354\\VI\
Salumificio Carretta\Via Garziere, 79, 36014 Santorso VI\http://www.salumificiocarretta.it/\0445 575099\info@salumificiocarretta.it salcarrettafelicino@legalmail.it\VI\
Mariga Giuseppe & C. s.a.s.\dell'Industria, 14, 36010 Cavazzale VI\http://www.lasopressadelpalladio.it/\0444 945898\info@lasopressadelpalladio.it\VI\
Salumi e Formaggi - Vicenza centro - BOTTEGA AI PORTICI di Cortiana Giuseppe\Corso Antonio Fogazzaro, 95, 36100 Vicenza VI\\0444 320902\\VI\
Santo Stefano Spa\Via Luigi Galvani, 97, 36066 Sandrigo VI\http://www.santostefanospa.it/\0444 656565\info@santostefanospa.it\VI\
I Macellai Vicenza\Viale Mercato Nuovo, 37, 36100 Vicenza VI\https://www.macellai-vicenza.it/\0444 569908\vino@elated-themes.com info@macellai-vicenza.it\VI\
Salumificio - Busin Saven S.r.l.\Via Trieste, 158, 36010 Zan VI\http://www.salumificiobusin.it/\0445 314103\\VI\
Salumificio F.lli Carretta\Via Monte Pasubio, 77, 36013 Piovene Rocchette VI\\0445 651984\\VI\
Macelleria-gastronomia Baggio\Via G. Vaccari, 84, 36100 Vicenza VI\https://www.baggio1982.it/\0444 565672\info@baggio1982.it\VI\
Santo Stefano S.p.a.\Via Camazzane, 7, 36066 Sandrigo VI\https://www.santostefanospa.it/\0444 657302\info@santostefanospa.it\VI\
Gastronomia Colombara Vicenza\Corso SS. Felice e Fortunato, 34, 36100 Vicenza VI\http://www.gastronomiacolombara.it/\0444 320917\colombara.1957@gmail.com\VI\
Macelleria & Salumeria Costa\Via Alessandro Massaria, 1, 36100 Vicenza VI\http://www.macelleriacosta.it/\0444 506435\macelleriacostasrl@legalmail.it info@macelleriacosta.it\VI\
La stanga delle bont\Viale della Pace, 227, 36100 Vicenza VI\http://www.lastangadellebonta.it/\0444 301300\luca@lastangadellebonta.it\VI\
Salumificio fratelli Cracco srl\Via Garavoglia, 1, 36070 Molino-mozzi-bittarelli VI\\\\VI\
Signorato Salumi\Via S. Vettore, 32, 36045 Lonigo VI\https://www.signorato.eu/\0444 832138\\VI\
Salumificio Vicentino Srl\Via della Tecnica, 16, 36034 Zona Industriale di Molina VI\\0445 330245\\VI\
S.A.S.\Viale Torino, 22, 36100 Vicenza VI\\340 218 3371\\VI\
Spaccio Latterie Vicentine - Vicenza\Borgo Scroffa, 32, 36100 Vicenza VI\https://spacci.latterievicentine.it/\328 032 8956\\VI\
Salumificio Lanzarini\Strada S. Rocco, 47, 36061 Bassano del Grappa VI\http://lanzarini.it/\0424 566478\\VI\
Gastronomia Alimentari Vivian\Via Nicol Tommaseo, 47, 36100 Vicenza VI\https://www.alimentarivivian.it/\0444 923745\info@alimentarivivian.it\VI\
Macelleria Zoppelletto S.r.l\Via Rasega, 2, 36040 Grumolo delle Abbadesse VI\https://www.macelleriazoppelletto.com/\0444 582094\loredanazoppelletto@gmail.com\VI\
Salumi E Formaggi Da Odone\Via Battaglione Monte Berico, 7, 36100 Vicenza VI\\0444 324959\\VI\
Gastronomia Dal Ponte, in Vicenza dal 1945\Contr San Silvestro, 31, 36100 Vicenza VI\https://www.dalponte.it/\0444 324533\info@dalponte.it\VI\
Salumeria Porro Snc Di Lain Raffaele & C.\5 Contra' Orefice Giacomo, P.zt Andrea Palladio, 12, 36100 Vicenza VI\\0444 545252\\VI\
Gastronomia a Tavola con Alessandro\Contr, Ponte S. Paolo, 18, 36100 Vicenza VI\\0444 542394\\VI\
Azienda agricola Desy\Strada Lobia, 200, 36100 Maddalene VI\http://www.aziendaagricoladesy.it/\347 924 7753\\VI\
Salumificio Gramola\Via Codazzi, 6, 36015 Schio VI\http://www.gramolasalumi.it/\0445 520579\\VI\
Salumeria Raffaello Simone\Corso Padova, 21, 36100 Vicenza VI\\0444 510206\\VI\
Il Salumiere 1978 - Shop\Via IV Novembre, 47, 36100 Vicenza VI\http://www.ilsalumiere.it/\0444 144 7358\\VI\
